"","compound","field","treatment","date","month","mean_conc"
"345","no3","3","25",2018-03-13,"Mar",20.7
"346","no3","3","25",2018-03-27,"Mar",22.71
"347","no3","3","25",2018-04-10,"Apr",15.05
"348","no3","3","25",2018-04-24,"Apr",7.83
"349","no3","3","25",2018-05-08,"May",3.89
"350","no3","3","25",2018-05-22,"May",NA
"351","no3","3","25",2018-06-05,"Jun",NA
"352","no3","3","25",2018-06-19,"Jun",NA
"353","no3","3","50",2018-03-13,"Mar",0.15
"354","no3","3","50",2018-03-27,"Mar",24.36
"355","no3","3","50",2018-04-10,"Apr",18.87
"356","no3","3","50",2018-04-24,"Apr",5.28
"357","no3","3","50",2018-05-08,"May",19.93
"358","no3","3","50",2018-05-22,"May",13.09
"359","no3","3","50",2018-06-05,"Jun",12.04
"360","no3","3","50",2018-06-19,"Jun",4.38
"361","no3","3","75",2018-03-13,"Mar",NA
"362","no3","3","75",2018-03-27,"Mar",NA
"363","no3","3","75",2018-04-10,"Apr",NA
"364","no3","3","75",2018-04-24,"Apr",NA
"365","no3","3","75",2018-05-08,"May",NA
"366","no3","3","75",2018-05-22,"May",1.07
"367","no3","3","75",2018-06-05,"Jun",NA
"368","no3","3","75",2018-06-19,"Jun",NA
"369","no3","3","100",2018-03-13,"Mar",NA
"370","no3","3","100",2018-03-27,"Mar",23.18
"371","no3","3","100",2018-04-10,"Apr",13.38
"372","no3","3","100",2018-04-24,"Apr",NA
"373","no3","3","100",2018-05-08,"May",3.83
"374","no3","3","100",2018-05-22,"May",8.73
"375","no3","3","100",2018-06-05,"Jun",NA
"376","no3","3","100",2018-06-19,"Jun",NA
"377","no3","3","C",2018-03-13,"Mar",13.35
"378","no3","3","C",2018-03-27,"Mar",16.64
"379","no3","3","C",2018-04-10,"Apr",11.2225
"380","no3","3","C",2018-04-24,"Apr",6.6575
"381","no3","3","C",2018-05-08,"May",14.5425
"382","no3","3","C",2018-05-22,"May",6.17666666666667
"383","no3","3","C",2018-06-05,"Jun",13.8325
"384","no3","3","C",2018-06-19,"Jun",11.2775
"385","no3","3","P",2018-03-13,"Mar",19.8833333333333
"386","no3","3","P",2018-03-27,"Mar",10.9025
"387","no3","3","P",2018-04-10,"Apr",3.405
"388","no3","3","P",2018-04-24,"Apr",1.715
"389","no3","3","P",2018-05-08,"May",1.9275
"390","no3","3","P",2018-05-22,"May",0.8675
"391","no3","3","P",2018-06-05,"Jun",0.7925
"392","no3","3","P",2018-06-19,"Jun",0.28
"393","no3","4","0",2018-03-13,"Mar",0.19
"394","no3","4","0",2018-03-27,"Mar",0.11
"395","no3","4","0",2018-04-10,"Apr",0.03
"396","no3","4","0",2018-04-24,"Apr",0.02
"397","no3","4","0",2018-05-08,"May",0
"398","no3","4","0",2018-05-22,"May",0
"399","no3","4","0",2018-06-05,"Jun",0
"400","no3","4","0",2018-06-19,"Jun",3.75
"401","no3","4","25",2018-03-13,"Mar",0.16
"402","no3","4","25",2018-03-27,"Mar",0.08
"403","no3","4","25",2018-04-10,"Apr",0.01
"404","no3","4","25",2018-04-24,"Apr",-0.01
"405","no3","4","25",2018-05-08,"May",0
"406","no3","4","25",2018-05-22,"May",0
"407","no3","4","25",2018-06-05,"Jun",0
"408","no3","4","25",2018-06-19,"Jun",0
"409","no3","4","50",2018-03-13,"Mar",NA
"410","no3","4","50",2018-03-27,"Mar",NA
"411","no3","4","50",2018-04-10,"Apr",0.85
"412","no3","4","50",2018-04-24,"Apr",NA
"413","no3","4","50",2018-05-08,"May",0
"414","no3","4","50",2018-05-22,"May",NA
