                         CRVO - ET SUMMARY - 2019 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 05/31 0.23 0.23 0.20 0.18 0.19 0.23 0.23 0.23 0.23 0.20 0.19 0.15 0.15 0.12 0.09 0.15 0.22 0.10 0.17 0.23 0.22 0.22 0.22 0.10 0.19 0.17 0.16 0.25
 06/01 0.26 0.26 0.22 0.21 0.21 0.26 0.26 0.26 0.26 0.23 0.21 0.17 0.17 0.14 0.10 0.17 0.25 0.11 0.19 0.26 0.25 0.25 0.24 0.11 0.22 0.20 0.18 0.28
 06/02 0.25 0.25 0.21 0.20 0.20 0.25 0.25 0.25 0.25 0.22 0.21 0.17 0.17 0.14 0.10 0.16 0.24 0.11 0.18 0.25 0.24 0.24 0.22 0.11 0.22 0.19 0.18 0.27
 06/03 0.25 0.25 0.21 0.20 0.19 0.25 0.25 0.25 0.25 0.23 0.21 0.17 0.17 0.14 0.10 0.16 0.24 0.11 0.18 0.25 0.24 0.24 0.21 0.12 0.22 0.20 0.18 0.27
 06/04 0.27 0.27 0.23 0.22 0.20 0.27 0.27 0.27 0.26 0.24 0.23 0.19 0.19 0.16 0.11 0.18 0.26 0.12 0.20 0.27 0.26 0.26 0.22 0.13 0.25 0.22 0.20 0.30
 06/05 0.16 0.16 0.14 0.13 0.11 0.16 0.16 0.16 0.16 0.15 0.14 0.11 0.11 0.09 0.07 0.10 0.15 0.07 0.12 0.16 0.15 0.15 0.12 0.08 0.15 0.13 0.12 0.18
 06/06 0.17 0.17 0.14 0.14 0.11 0.17 0.17 0.17 0.16 0.16 0.15 0.12 0.12 0.10 0.07 0.11 0.16 0.07 0.12 0.17 0.16 0.16 0.12 0.09 0.16 0.14 0.13 0.19
 06/07 0.17 0.17 0.14 0.14 0.10 0.17 0.17 0.17 0.16 0.16 0.15 0.13 0.13 0.10 0.07 0.11 0.16 0.07 0.13 0.17 0.16 0.16 0.12 0.10 0.16 0.14 0.13 0.19
 06/08 0.19 0.19 0.16 0.15 0.10 0.19 0.19 0.19 0.18 0.18 0.17 0.14 0.14 0.12 0.09 0.12 0.18 0.08 0.14 0.19 0.18 0.18 0.12 0.11 0.18 0.16 0.15 0.21
 06/09 0.34 0.34 0.29 0.27 0.17 0.33 0.33 0.34 0.33 0.31 0.30 0.26 0.26 0.22 0.16 0.22 0.33 0.15 0.25 0.34 0.32 0.32 0.21 0.20 0.33 0.29 0.27 0.37
 06/10 0.35 0.35 0.30 0.28 0.17 0.34 0.34 0.35 0.33 0.33 0.31 0.28 0.27 0.23 0.17 0.23 0.34 0.15 0.26 0.35 0.33 0.33 0.20 0.21 0.34 0.31 0.28 0.39
 06/11 0.42 0.42 0.36 0.34 0.19 0.41 0.41 0.42 0.40 0.39 0.37 0.34 0.33 0.28 0.21 0.27 0.40 0.19 0.31 0.42 0.40 0.40 0.23 0.26 0.41 0.37 0.34 0.46
 06/12 0.32 0.32 0.27 0.26 0.14 0.31 0.31 0.32 0.30 0.30 0.29 0.26 0.25 0.22 0.16 0.21 0.31 0.14 0.24 0.32 0.30 0.30 0.16 0.20 0.31 0.29 0.26 0.35
 06/13 0.28 0.28 0.24 0.22 0.11 0.27 0.26 0.28 0.26 0.26 0.25 0.23 0.22 0.19 0.15 0.18 0.27 0.13 0.21 0.28 0.26 0.27 0.13 0.18 0.28 0.25 0.23 0.31
 06/14 0.26 0.26 0.22 0.21 0.10 0.25 0.23 0.26 0.24 0.24 0.24 0.22 0.21 0.18 0.14 0.17 0.25 0.12 0.20 0.26 0.24 0.25 0.12 0.17 0.26 0.24 0.22 0.29
 06/15 0.27 0.27 0.23 0.22 0.10 0.26 0.24 0.27 0.25 0.25 0.25 0.23 0.22 0.19 0.15 0.18 0.26 0.12 0.20 0.27 0.25 0.26 0.11 0.18 0.27 0.25 0.23 0.30
 06/16 0.30 0.30 0.26 0.24 0.10 0.29 0.25 0.30 0.28 0.28 0.27 0.25 0.25 0.22 0.17 0.20 0.29 0.14 0.23 0.30 0.28 0.29 0.11 0.20 0.30 0.28 0.26 0.33
 06/17 0.28 0.28 0.24 0.22 0.09 0.27 0.23 0.28 0.26 0.26 0.26 0.24 0.24 0.21 0.16 0.18 0.27 0.13 0.21 0.28 0.26 0.27 0.10 0.18 0.28 0.26 0.24 0.31
 06/18 0.26 0.26 0.22 0.21 0.09 0.25 0.21 0.26 0.24 0.24 0.24 0.22 0.22 0.19 0.15 0.17 0.25 0.12 0.20 0.26 0.24 0.25 0.08 0.17 0.26 0.24 0.23 0.29
 06/19 0.24 0.24 0.20 0.19 0.08 0.23 0.18 0.24 0.22 0.22 0.22 0.21 0.21 0.18 0.14 0.16 0.23 0.11 0.18 0.24 0.22 0.23 0.07 0.16 0.24 0.23 0.21 0.26
 06/20 0.16 0.16 0.14 0.13 0.05 0.15 0.12 0.16 0.15 0.15 0.15 0.14 0.14 0.12 0.10 0.10 0.16 0.07 0.12 0.16 0.14 0.15 0.04 0.10 0.16 0.15 0.14 0.18
 06/21 0.18 0.18 0.15 0.14 0.06 0.17 0.13 0.18 0.16 0.17 0.17 0.16 0.16 0.14 0.11 0.12 0.18 0.08 0.14 0.18 0.16 0.17 0.04 0.12 0.18 0.17 0.16 0.20
 06/22 0.23 0.23 0.20 0.18 0.07 0.22 0.16 0.23 0.21 0.21 0.21 0.20 0.21 0.18 0.15 0.15 0.22 0.11 0.18 0.23 0.21 0.22 0.05 0.15 0.23 0.22 0.21 0.25
 06/23 0.18 0.18 0.15 0.14 0.05 0.17 0.12 0.18 0.16 0.17 0.17 0.16 0.16 0.14 0.12 0.12 0.18 0.08 0.14 0.18 0.16 0.17 0.04 0.12 0.18 0.17 0.16 0.20
