                         CRVO - ET SUMMARY - 2016 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 05/21 0.13 0.13 0.11 0.10 0.12 0.13 0.13 0.13 0.13 0.11 0.10 0.07 0.08 0.06 0.05 0.08 0.12 0.06 0.09 0.13 0.12 0.12 0.13 0.04 0.09 0.08 0.07 0.14
 05/22 0.12 0.12 0.10 0.10 0.11 0.12 0.12 0.12 0.12 0.10 0.09 0.07 0.08 0.06 0.04 0.08 0.11 0.05 0.09 0.12 0.11 0.11 0.12 0.04 0.09 0.07 0.06 0.13
 05/23 0.11 0.11 0.09 0.09 0.10 0.11 0.11 0.11 0.11 0.10 0.09 0.07 0.07 0.06 0.04 0.07 0.10 0.05 0.08 0.11 0.10 0.10 0.11 0.04 0.08 0.07 0.06 0.12
 05/24 0.15 0.15 0.13 0.12 0.13 0.15 0.15 0.15 0.15 0.13 0.12 0.09 0.10 0.08 0.06 0.10 0.14 0.07 0.11 0.15 0.14 0.14 0.15 0.06 0.11 0.10 0.09 0.16
 05/25 0.12 0.12 0.10 0.10 0.10 0.12 0.12 0.12 0.12 0.11 0.10 0.08 0.08 0.06 0.05 0.08 0.11 0.05 0.09 0.12 0.11 0.11 0.12 0.05 0.09 0.08 0.07 0.13
 05/26 0.11 0.11 0.09 0.09 0.09 0.11 0.11 0.11 0.11 0.10 0.09 0.07 0.07 0.06 0.04 0.07 0.10 0.05 0.08 0.11 0.10 0.10 0.11 0.04 0.08 0.07 0.07 0.12
 05/27 0.15 0.15 0.13 0.12 0.12 0.15 0.15 0.15 0.15 0.13 0.12 0.10 0.10 0.08 0.06 0.10 0.14 0.07 0.11 0.15 0.14 0.14 0.14 0.06 0.12 0.10 0.09 0.16
 05/28 0.21 0.21 0.18 0.17 0.17 0.21 0.21 0.21 0.21 0.19 0.17 0.14 0.15 0.12 0.09 0.14 0.20 0.09 0.16 0.21 0.20 0.20 0.19 0.09 0.17 0.15 0.13 0.23
 05/29 0.16 0.16 0.14 0.13 0.12 0.16 0.16 0.16 0.16 0.14 0.13 0.11 0.11 0.09 0.07 0.10 0.15 0.07 0.12 0.16 0.15 0.15 0.14 0.07 0.13 0.11 0.10 0.17
 05/30 0.29 0.29 0.25 0.23 0.21 0.29 0.29 0.29 0.28 0.26 0.24 0.20 0.21 0.17 0.13 0.19 0.28 0.13 0.22 0.29 0.28 0.28 0.25 0.14 0.24 0.21 0.19 0.31
 05/31 0.31 0.31 0.26 0.25 0.21 0.31 0.31 0.31 0.30 0.28 0.26 0.22 0.23 0.18 0.14 0.20 0.30 0.14 0.23 0.31 0.29 0.29 0.26 0.16 0.26 0.23 0.21 0.34
 06/01 0.22 0.22 0.19 0.18 0.14 0.22 0.22 0.22 0.21 0.20 0.19 0.16 0.16 0.13 0.10 0.14 0.21 0.10 0.16 0.22 0.21 0.21 0.18 0.12 0.19 0.17 0.15 0.24
 06/02 0.12 0.12 0.10 0.10 0.07 0.12 0.12 0.12 0.12 0.11 0.10 0.09 0.09 0.07 0.06 0.08 0.12 0.05 0.09 0.12 0.11 0.11 0.09 0.07 0.11 0.09 0.08 0.13
